"GridSize","seed","alpha","lambda","beta","type","SNorm","SNormTapered","SNormSeparTapered","L1Selected","L2Selected"
10,1,1,2,0,"trapezoid",9.58124022733362,8.56788905084484,9.1276944208313,2,2
10,2,1,2,0,"trapezoid",8.0787675323414,7.26373855286132,5.81025663833174,2,2
10,3,1,2,0,"trapezoid",10.9845715631497,10.0752416165533,10.3431633984316,2,2
10,4,1,2,0,"trapezoid",9.67968149894096,8.35316304377128,7.66744453931184,3,2
10,5,1,2,0,"trapezoid",6.54363292066148,5.29824716787651,5.10156939798192,3,2
10,6,1,2,0,"trapezoid",9.06100278020477,8.06085676112279,7.20766230119962,2,2
10,7,1,2,0,"trapezoid",7.82078631311624,6.51153777688715,3.94994949811946,2,3
10,8,1,2,0,"trapezoid",9.56414946004461,9.58270827141094,8.04861199122821,2,2
10,9,1,2,0,"trapezoid",10.3764759773729,9.59432074668078,9.89537079308067,3,2
10,10,1,2,0,"trapezoid",9.17306629659987,8.20687842878121,8.69994197429842,2,2
10,11,1,2,0,"trapezoid",8.24122355146533,5.79230410476659,6.95053638958367,3,2
10,12,1,2,0,"trapezoid",7.279601040093,5.18247086050451,7.57070448880296,2,3
10,13,1,2,0,"trapezoid",7.90733078471415,5.90269090541744,7.13326825161824,2,3
10,14,1,2,0,"trapezoid",10.7170644609888,6.18566587388708,6.91826346537971,4,3
10,15,1,2,0,"trapezoid",7.37206862459675,5.8612196289982,6.72134165047764,3,2
10,16,1,2,0,"trapezoid",9.12386569252956,7.78945706400043,7.63478598677809,3,2
10,17,1,2,0,"trapezoid",10.7364426638304,9.57520791073214,9.62366429986283,2,2
10,18,1,2,0,"trapezoid",7.70851174324652,2.50701161950527,5.10923472383679,3,3
10,19,1,2,0,"trapezoid",10.6351457616415,9.8344852808355,10.0086721516014,2,1
10,20,1,2,0,"trapezoid",7.49457107227089,4.10977903931329,3.25250779894613,2,3
10,21,1,2,0,"trapezoid",6.90589054656886,4.59732550208307,3.62973595562732,2,2
10,22,1,2,0,"trapezoid",9.1381985977227,5.05576352429975,4.67960202558972,5,3
10,23,1,2,0,"trapezoid",9.52949914946814,6.86682000184688,7.82964281983448,2,3
10,24,1,2,0,"trapezoid",10.3967514000244,9.80514614527619,10.2997711167613,1,2
10,25,1,2,0,"trapezoid",8.15779367836021,6.83314961050385,6.33201543191734,3,2
10,26,1,2,0,"trapezoid",9.44921491992777,8.58366746427396,8.63556074424404,2,2
10,27,1,2,0,"trapezoid",8.52835033069275,6.19864440220884,3.17825603529557,3,2
10,28,1,2,0,"trapezoid",7.86253444380698,6.48466782224509,6.0238818961276,2,2
10,29,1,2,0,"trapezoid",8.9153263143366,6.9692983977455,6.01982234423105,3,2
10,30,1,2,0,"trapezoid",9.73462389716168,6.09476137209349,5.29197002376154,3,2
10,31,1,2,0,"trapezoid",7.60525728484602,6.25747627342604,6.73481680528673,3,2
10,32,1,2,0,"trapezoid",9.43948306212774,8.6391671158124,10.1267115569014,2,2
10,33,1,2,0,"trapezoid",9.26619370340855,7.42625225074402,8.37522616980056,3,2
10,34,1,2,0,"trapezoid",9.34280998224931,8.2888080629958,9.07315763395368,2,2
10,35,1,2,0,"trapezoid",9.79214526672301,7.52285494855417,7.44051392368986,2,2
10,36,1,2,0,"trapezoid",9.11008489891681,6.77399900370404,7.58699617650185,2,2
10,37,1,2,0,"trapezoid",10.7303746677203,9.420615213212,9.39851751282321,3,1
10,38,1,2,0,"trapezoid",8.49680882855437,6.58921833850247,8.22419269344196,2,3
10,39,1,2,0,"trapezoid",9.21067340911345,8.6663704909452,9.66228418982531,2,2
10,40,1,2,0,"trapezoid",9.70399476874239,8.04885472169408,7.4918204772347,2,2
10,41,1,2,0,"trapezoid",9.65915319617459,7.92434780339044,6.54504752783577,3,2
10,42,1,2,0,"trapezoid",10.2642114431986,10.3740208948313,8.55240889593918,2,2
10,43,1,2,0,"trapezoid",8.16501413939414,6.43293107158107,5.78383376487365,5,2
10,44,1,2,0,"trapezoid",7.31560801893354,5.3865160809499,4.17336994945563,2,2
10,45,1,2,0,"trapezoid",10.057528347792,8.62614985941149,8.67209126849596,1,3
10,46,1,2,0,"trapezoid",9.6228640574252,8.13802307339883,7.45194055944339,3,2
10,47,1,2,0,"trapezoid",10.2900032046577,9.66121555046349,9.64715946474669,2,2
10,48,1,2,0,"trapezoid",12.2191233037635,7.09521347019953,11.2108585574005,3,3
10,49,1,2,0,"trapezoid",6.80838420745824,5.54208542340073,5.07021945293546,3,2
10,50,1,2,0,"trapezoid",9.71449751694053,8.80726408227801,8.74922394437764,2,3
10,51,1,2,0,"trapezoid",9.66568997196496,7.91164990801863,7.98407569394953,2,2
10,52,1,2,0,"trapezoid",8.68530595446435,6.33339422203737,7.28331778323403,3,2
10,53,1,2,0,"trapezoid",7.98255334844643,6.47479837927821,6.52312370492485,3,2
10,54,1,2,0,"trapezoid",10.1589687399234,8.16634122729954,7.77459703270983,2,2
10,55,1,2,0,"trapezoid",7.17632342452823,6.11144512765393,5.88740489848788,3,2
10,56,1,2,0,"trapezoid",10.3150699315019,9.25099900956926,10.4688597585677,1,3
10,57,1,2,0,"trapezoid",6.71016753918535,4.23538870222515,7.31264653631427,3,2
10,58,1,2,0,"trapezoid",9.84812752534875,8.20125968812426,7.93180980716911,3,2
10,59,1,2,0,"trapezoid",8.08815621946236,3.67129455260532,2.37509304384778,3,2
10,60,1,2,0,"trapezoid",9.40013920230772,6.45551574447771,6.68703170236555,2,3
10,61,1,2,0,"trapezoid",7.73422830230799,6.47675724581415,6.6751014144131,2,2
10,62,1,2,0,"trapezoid",8.52458760182476,6.54330787377823,6.54650360148418,2,3
10,63,1,2,0,"trapezoid",6.91134219969074,3.55232741258835,4.05210889897988,2,3
10,64,1,2,0,"trapezoid",5.0495542474385,3.32061817825039,3.5224837227351,4,2
10,65,1,2,0,"trapezoid",9.2094769330988,7.20800472471299,4.88770320829713,2,3
10,66,1,2,0,"trapezoid",10.6882863184907,9.56978723358367,9.97837799736846,2,2
10,67,1,2,0,"trapezoid",9.8022766553499,7.41368373636353,6.59085514959436,2,4
10,68,1,2,0,"trapezoid",10.7484557554951,9.67118704575737,10.1819500602292,2,1
10,69,1,2,0,"trapezoid",10.5394680393074,10.2628268870174,9.16152181000996,3,5
10,70,1,2,0,"trapezoid",9.64260099230996,9.74026137412439,10.1377533212363,2,2
10,71,1,2,0,"trapezoid",10.6288049785219,9.99669923747318,9.81126401319665,2,2
10,72,1,2,0,"trapezoid",9.30738797452587,9.45510406729845,9.64713863301008,2,1
10,73,1,2,0,"trapezoid",11.0650713048855,9.01779531790289,8.25928639150265,2,2
10,74,1,2,0,"trapezoid",7.48083790203261,5.80921343630602,5.50211264033263,3,2
10,75,1,2,0,"trapezoid",7.79909545027999,6.09435699252907,6.19404060058222,2,3
10,76,1,2,0,"trapezoid",11.2670147784971,10.1210473467293,10.8309990215868,1,2
10,77,1,2,0,"trapezoid",9.10747931297747,8.20076230374789,6.81959856254731,2,2
10,78,1,2,0,"trapezoid",8.49113448377471,8.16546910269993,7.35453198145323,2,2
10,79,1,2,0,"trapezoid",9.74342197572412,7.20370328173703,5.30318351039038,2,2
10,80,1,2,0,"trapezoid",10.5064488838153,10.1888946327178,10.0480313888319,3,2
10,81,1,2,0,"trapezoid",9.78299387445901,9.82698292775328,9.7562948214615,2,2
10,82,1,2,0,"trapezoid",10.2116600029704,9.44021667605729,9.06998267749148,2,3
10,83,1,2,0,"trapezoid",10.5018486325215,8.42265033556584,7.93999499522571,2,2
