"","GridSize","seed","alpha","lambda","beta","type","SNorm","SNormTapered","SNormSeparTapered","L1Selected","L2Selected"
"1",10,1,1,2,0,"rectangular",9.58124022733362,8.50286274247298,9.22972570779952,2,2
"2",10,2,1,2,0,"rectangular",8.0787675323414,7.62410165879696,6.27660672995061,2,2
"3",10,3,1,2,0,"rectangular",10.9845715631497,9.90075936720974,10.3766306402656,2,2
"4",10,4,1,2,0,"rectangular",9.67968149894096,7.70382945634183,7.74232600265005,3,2
"5",10,5,1,2,0,"rectangular",6.54363292066148,5.5667371022887,5.42098150627097,3,2
"6",10,6,1,2,0,"rectangular",9.06100278020477,8.25084334187179,7.54792361232022,2,2
"7",10,7,1,2,0,"rectangular",7.82078631311624,6.0034349492368,4.21246615615932,2,3
"8",10,8,1,2,0,"rectangular",9.56414946004461,9.05757429788427,8.24357945313178,2,2
"9",10,9,1,2,0,"rectangular",10.3764759773729,9.42671970148126,9.76872924616234,3,2
"10",10,10,1,2,0,"rectangular",9.17306629659987,8.38495661209862,8.91181972796918,2,2
"11",10,11,1,2,0,"rectangular",8.24122355146533,5.46730407777667,6.88585884966522,3,2
"12",10,12,1,2,0,"rectangular",7.279601040093,5.59695527029251,7.77994831950374,2,3
"13",10,13,1,2,0,"rectangular",7.90733078471415,5.85076068209141,7.07094905727128,2,3
"14",10,14,1,2,0,"rectangular",10.7170644609888,4.60598132215646,6.00474257077925,4,3
"15",10,15,1,2,0,"rectangular",7.37206862459675,5.75815785039726,6.78926613904319,3,2
"16",10,16,1,2,0,"rectangular",9.12386569252956,8.01298149988984,7.94549722154193,3,2
"17",10,17,1,2,0,"rectangular",10.7364426638304,9.61866189221886,9.6837618234797,2,2
"18",10,18,1,2,0,"rectangular",7.70851174324652,2.79337634762113,3.96160455967441,3,3
"19",10,19,1,2,0,"rectangular",10.6351457616415,9.98685361076235,10.1435626444701,2,1
"20",10,20,1,2,0,"rectangular",7.49457107227089,3.69123557030603,3.09817997547399,2,3
"21",10,21,1,2,0,"rectangular",6.90589054656886,4.91948255960804,4.22742695911195,2,2
"22",10,22,1,2,0,"rectangular",9.1381985977227,3.88673775230635,4.28411364843805,5,3
"23",10,23,1,2,0,"rectangular",9.52949914946814,6.65859568726681,7.80193583857104,2,3
"24",10,24,1,2,0,"rectangular",10.3967514000244,9.91300211119377,10.3602151610367,1,2
"25",10,25,1,2,0,"rectangular",8.15779367836021,7.35199119832886,6.89530827869657,3,2
"26",10,26,1,2,0,"rectangular",9.44921491992777,8.43640122710155,8.61524692693029,2,2
"27",10,27,1,2,0,"rectangular",8.52835033069275,5.30059473962512,3.17186488547131,3,2
"28",10,28,1,2,0,"rectangular",7.86253444380698,6.73067421767798,6.34757765366076,2,2
"29",10,29,1,2,0,"rectangular",8.9153263143366,6.28696528741426,5.96176729276513,3,2
"30",10,30,1,2,0,"rectangular",9.73462389716168,5.35394056624644,5.14485470824669,3,2
"31",10,31,1,2,0,"rectangular",7.60525728484602,6.18112376068715,6.99982901394782,3,2
"32",10,32,1,2,0,"rectangular",9.43948306212774,8.92357845435681,10.2347417621686,2,2
"33",10,33,1,2,0,"rectangular",9.26619370340855,7.32862810255957,8.54530712290869,3,2
"34",10,34,1,2,0,"rectangular",9.34280998224931,8.39285457028874,9.12723446129812,2,2
"35",10,35,1,2,0,"rectangular",9.79214526672301,7.36097083001709,7.42545331861943,2,2
"36",10,36,1,2,0,"rectangular",9.11008489891681,6.93388759779424,7.73494104138881,2,2
"37",10,37,1,2,0,"rectangular",10.7303746677203,9.3391053773978,9.44300617984945,3,1
"38",10,38,1,2,0,"rectangular",8.49680882855437,6.8716106066805,8.35456614967693,2,3
"39",10,39,1,2,0,"rectangular",9.21067340911345,8.82662693986087,9.70836034302658,2,2
"40",10,40,1,2,0,"rectangular",9.70399476874239,7.83086736053038,7.59704222935184,2,2
"41",10,41,1,2,0,"rectangular",9.65915319617459,7.31291460040219,6.39591299126315,3,2
"42",10,42,1,2,0,"rectangular",10.2642114431986,9.82742275680411,8.51244216263932,2,2
"43",10,43,1,2,0,"rectangular",8.16501413939414,5.97926479877926,5.80288332667939,5,2
"44",10,44,1,2,0,"rectangular",7.31560801893354,5.44156713958263,4.42262663925374,2,2
"45",10,45,1,2,0,"rectangular",10.057528347792,8.64751740315138,8.62392066986544,1,3
"46",10,46,1,2,0,"rectangular",9.6228640574252,7.76814698649164,7.49372561099073,3,2
"47",10,47,1,2,0,"rectangular",10.2900032046577,9.53497082455362,9.74505227072815,2,2
