GridSize;seed;l;alpha;lambda;beta;type;SNorm;SNormTapered;SNormSeparTapered
10;1;1;1;6;1;rectangular;6.913842743;6.507558216;7.512258849
10;2;1;1;6;1;rectangular;7.280137431;5.771573991;6.395672651
10;3;1;1;6;1;rectangular;7.228850764;6.653489211;7.392975746
10;4;1;1;6;1;rectangular;6.552014489;6.267450248;6.990973586
10;5;1;1;6;1;rectangular;5.566355983;5.636721283;6.453013312
10;6;1;1;6;1;rectangular;6.698552397;6.287367473;7.200467339
10;7;1;1;6;1;rectangular;6.090725123;4.034008205;4.775620265
10;8;1;1;6;1;rectangular;6.190536784;6.359208867;6.976294591
10;9;1;1;6;1;rectangular;6.399452897;5.688489914;6.791945137
10;10;1;1;6;1;rectangular;7.211590356;6.586043834;7.522053285
10;11;1;1;6;1;rectangular;6.9323116;5.832316062;6.72478106
10;12;1;1;6;1;rectangular;4.234621575;5.769928529;6.860689673
10;13;1;1;6;1;rectangular;6.74427989;6.020930709;7.108635091
10;14;1;1;6;1;rectangular;8.155499536;3.157833654;3.286025332
10;15;1;1;6;1;rectangular;5.065132581;5.572086894;6.473044296
10;16;1;1;6;1;rectangular;7.0982032;6.589348664;7.542618178
10;17;1;1;6;1;rectangular;7.135252992;6.776534259;7.393326615
10;18;1;1;6;1;rectangular;7.136980956;3.243084385;3.757448146
10;19;1;1;6;1;rectangular;7.358510056;6.502377419;7.309080426
10;20;1;1;6;1;rectangular;7.100791799;5.041026759;5.950819007
10;21;1;1;6;1;rectangular;5.045563506;5.34599198;6.151432204
10;22;1;1;6;1;rectangular;9.393014232;3.157804971;3.548707453
10;23;1;1;6;1;rectangular;5.687991046;6.099389302;7.127733772
10;24;1;1;6;1;rectangular;6.986240912;6.730006116;7.545257308
10;25;1;1;6;1;rectangular;5.42662992;5.856268099;6.993364158
10;26;1;1;6;1;rectangular;6.780248515;6.415413225;7.410378083
10;27;1;1;6;1;rectangular;5.015737504;3.628827127;3.642651293
10;28;1;1;6;1;rectangular;7.13926587;5.821123823;6.630601503
10;29;1;1;6;1;rectangular;4.944038924;5.144963298;6.208600941
10;30;1;1;6;1;rectangular;5.931870817;5.452985887;6.284573113
10;31;1;1;6;1;rectangular;6.480310593;6.101636866;7.050904897
10;32;1;1;6;1;rectangular;7.516880438;7.020018776;7.760499979
10;33;1;1;6;1;rectangular;7.511598894;6.497220728;7.131782692
10;34;1;1;6;1;rectangular;6.472285304;6.566336608;7.367118798
10;35;1;1;6;1;rectangular;7.412531367;5.639441292;6.118520061
10;36;1;1;6;1;rectangular;7.389353991;5.81980885;6.684649856
10;37;1;1;6;1;rectangular;7.616832013;6.57666479;7.350455229
10;38;1;1;6;1;rectangular;5.93784751;5.865011888;6.986223106
10;39;1;1;6;1;rectangular;6.967791723;6.594277183;7.586998542
10;40;1;1;6;1;rectangular;5.757963409;5.833577516;6.524356967
10;41;1;1;6;1;rectangular;5.962138984;4.935461243;5.958450128
10;42;1;1;6;1;rectangular;5.5161642;5.043864703;5.589647205
10;43;1;1;6;1;rectangular;5.231248345;5.354945065;6.522364751
10;44;1;1;6;1;rectangular;5.604130484;4.953463322;5.937724173
10;45;1;1;6;1;rectangular;7.466517023;6.652965722;7.529738635
10;46;1;1;6;1;rectangular;6.486501663;5.840120186;6.572612722
10;47;1;1;6;1;rectangular;6.058820525;6.130209454;7.130405033
10;48;1;1;6;1;rectangular;14.8778061;4.082726524;4.562362833
10;49;1;1;6;1;rectangular;7.151733714;4.831573929;5.432835385
10;50;1;1;6;1;rectangular;5.820035494;6.086343257;7.120758322
10;51;1;1;6;1;rectangular;7.40120107;6.328987467;6.866097477
10;52;1;1;6;1;rectangular;7.037057558;4.996203918;5.69426753
10;53;1;1;6;1;rectangular;6.328993505;5.517600495;6.270876185
10;54;1;1;6;1;rectangular;6.078675532;5.071032456;6.041202819
10;55;1;1;6;1;rectangular;6.185001602;4.622877324;5.557469177
10;56;1;1;6;1;rectangular;7.069067673;6.896917339;7.647309895
10;57;1;1;6;1;rectangular;9.79064867;2.956454063;4.157503989
10;58;1;1;6;1;rectangular;5.44862807;5.727479765;6.769034769
10;59;1;1;6;1;rectangular;6.245543527;4.906907569;5.394191453
10;60;1;1;6;1;rectangular;6.382950559;5.750307986;6.767662494
10;61;1;1;6;1;rectangular;7.010672274;6.342225296;7.373496667
10;62;1;1;6;1;rectangular;7.559535915;5.430447504;5.960690748
10;63;1;1;6;1;rectangular;6.423862773;5.084233463;5.679637117
10;64;1;1;6;1;rectangular;4.356010452;4.774501482;6.221878971
10;65;1;1;6;1;rectangular;6.400252963;5.310251023;6.301675082
10;66;1;1;6;1;rectangular;7.231356647;7.145135389;7.774017565
10;67;1;1;6;1;rectangular;6.891047024;5.567001214;6.338022127
10;68;1;1;6;1;rectangular;6.9033424;6.712706894;7.525310471
10;69;1;1;6;1;rectangular;6.969642371;6.077363355;6.953145892
10;70;1;1;6;1;rectangular;6.744840663;6.138379969;7.111258843
10;71;1;1;6;1;rectangular;7.088315834;6.353574461;7.182992439
10;72;1;1;6;1;rectangular;7.330831739;6.639625158;7.428785297
10;73;1;1;6;1;rectangular;7.60776097;5.84489073;6.246816215
10;74;1;1;6;1;rectangular;7.433889356;5.464560951;6.198775055
10;75;1;1;6;1;rectangular;7.368397782;6.215612941;7.214213857
10;76;1;1;6;1;rectangular;7.844853296;7.426017077;7.940680883
10;77;1;1;6;1;rectangular;6.21812678;4.7579628;5.433818384
10;78;1;1;6;1;rectangular;6.357379736;5.850939242;6.80716462
10;79;1;1;6;1;rectangular;7.063350547;4.808115816;5.512271832
10;80;1;1;6;1;rectangular;7.341742177;7.082977579;7.537804262
10;81;1;1;6;1;rectangular;6.858643513;6.251578369;7.3308839
10;82;1;1;6;1;rectangular;6.401925485;5.819487686;6.715632886
10;83;1;1;6;1;rectangular;6.072238102;5.54479593;6.601957899
10;84;1;1;6;1;rectangular;4.885488213;5.811939145;6.788216232
10;85;1;1;6;1;rectangular;5.373495791;4.9924874;5.873251252
10;86;1;1;6;1;rectangular;5.928330682;6.49873649;7.598881661
10;87;1;1;6;1;rectangular;6.307370105;4.811145345;5.445103939
10;88;1;1;6;1;rectangular;5.682516737;4.309129628;4.708308468
10;89;1;1;6;1;rectangular;6.88676375;3.864431827;3.878642134
10;90;1;1;6;1;rectangular;7.45230342;6.016052041;6.99843774
10;91;1;1;6;1;rectangular;6.717498934;3.720479832;3.549374395
10;92;1;1;6;1;rectangular;7.530644755;5.60496785;6.225426688
10;93;1;1;6;1;rectangular;4.773106951;5.023528875;5.896742009
10;94;1;1;6;1;rectangular;10.81899718;3.847601691;4.492613068
10;95;1;1;6;1;rectangular;5.735370552;4.22361007;4.307856886
10;96;1;1;6;1;rectangular;7.027087331;4.390568567;5.232376938
10;97;1;1;6;1;rectangular;9.439074844;4.139389984;4.530215738
10;98;1;1;6;1;rectangular;6.854562233;5.857944306;6.870373093
10;99;1;1;6;1;rectangular;7.684893437;6.804650694;7.644001188
10;100;1;1;6;1;rectangular;7.760617614;7.370360123;7.893871457
10;1;1;1;8;1;rectangular;8.320917965;7.78510516;8.657767446
10;2;1;1;8;1;rectangular;7.655834629;6.563833013;7.068076157
10;3;1;1;8;1;rectangular;7.632224748;7.467281364;8.498354573
10;4;1;1;8;1;rectangular;7.401485645;7.980594335;8.807762049
10;5;1;1;8;1;rectangular;7.130278791;7.078554098;8.392111974
10;6;1;1;8;1;rectangular;6.443987725;6.844350737;7.830452776
10;7;1;1;8;1;rectangular;7.059286199;5.443491265;6.687709292
10;8;1;1;8;1;rectangular;6.725151874;7.616490927;8.480369592
10;9;1;1;8;1;rectangular;8.261477254;7.741809381;8.606326988
10;10;1;1;8;1;rectangular;8.761460277;8.359050278;9.152027664
10;11;1;1;8;1;rectangular;8.123517048;7.43198367;8.5586558
10;12;1;1;8;1;rectangular;4.935683043;6.866976309;8.225255363
10;13;1;1;8;1;rectangular;7.9987663;8.095252298;9.236354359
10;14;1;1;8;1;rectangular;11.29745713;4.80464023;5.178932666
10;15;1;1;8;1;rectangular;6.565354318;6.820745626;7.711306752
10;16;1;1;8;1;rectangular;8.582938208;7.678961428;8.535588135
10;17;1;1;8;1;rectangular;7.328916159;7.683086786;8.782617688
10;18;1;1;8;1;rectangular;8.22210553;4.09865595;4.145392841
10;19;1;1;8;1;rectangular;7.93022226;7.897987592;8.800933481
10;20;1;1;8;1;rectangular;8.114530506;6.116945906;6.7224031
10;21;1;1;8;1;rectangular;7.145055823;6.681548364;7.555404433
10;22;1;1;8;1;rectangular;7.628522508;4.558850132;4.788104308
10;23;1;1;8;1;rectangular;6.052730914;7.165401464;8.399864538
10;24;1;1;8;1;rectangular;7.770297169;8.021696855;9.065856421
10;25;1;1;8;1;rectangular;7.56347533;7.322794707;8.27016737
10;26;1;1;8;1;rectangular;7.498801655;7.151860761;8.434439824
10;27;1;1;8;1;rectangular;5.45681977;5.323976133;5.832572623
10;28;1;1;8;1;rectangular;7.976247691;7.267174319;8.445148046
10;29;1;1;8;1;rectangular;4.274931982;6.046983544;6.712878075
10;30;1;1;8;1;rectangular;7.607257221;6.389945708;6.930150923
10;31;1;1;8;1;rectangular;8.293857246;7.264556374;8.266475335
10;32;1;1;8;1;rectangular;8.836567027;8.183646278;9.060097979
