"GridSize","seed","l","alpha","lambda","beta","type","SNorm","SNormTapered","SNormSeparTapered"
10,1,1,1,6,1,"rectangular",6.91384274310253,6.50755821601443,7.51225884900887
10,2,1,1,6,1,"rectangular",7.28013743067486,5.7715739910089,6.39567265108602
10,3,1,1,6,1,"rectangular",7.22885076412062,6.65348921051786,7.39297574582027
10,4,1,1,6,1,"rectangular",6.55201448870434,6.26745024819802,6.99097358598251
10,5,1,1,6,1,"rectangular",5.5663559831223,5.63672128257134,6.45301331201226
10,6,1,1,6,1,"rectangular",6.69855239718467,6.28736747294935,7.20046733928033
10,7,1,1,6,1,"rectangular",6.09072512316323,4.03400820536809,4.7756202645937
10,8,1,1,6,1,"rectangular",6.19053678350609,6.35920886737621,6.97629459083823
10,9,1,1,6,1,"rectangular",6.39945289720438,5.68848991413657,6.79194513725554
10,10,1,1,6,1,"rectangular",7.21159035634264,6.58604383382085,7.52205328473376
10,11,1,1,6,1,"rectangular",6.93231160047134,5.83231606158858,6.7247810603618
10,12,1,1,6,1,"rectangular",4.23462157497186,5.76992852923376,6.86068967292114
10,13,1,1,6,1,"rectangular",6.74427988952173,6.02093070854635,7.10863509059761
10,14,1,1,6,1,"rectangular",8.15549953575388,3.15783365379293,3.28602533199432
10,15,1,1,6,1,"rectangular",5.06513258074977,5.57208689356163,6.47304429591977
10,16,1,1,6,1,"rectangular",7.09820320040902,6.58934866384826,7.54261817750339
10,17,1,1,6,1,"rectangular",7.13525299230884,6.77653425875331,7.39332661519306
10,18,1,1,6,1,"rectangular",7.13698095570308,3.24308438521763,3.7574481456463
10,19,1,1,6,1,"rectangular",7.35851005643956,6.50237741855364,7.30908042564005
10,20,1,1,6,1,"rectangular",7.10079179937014,5.04102675914914,5.95081900667487
10,21,1,1,6,1,"rectangular",5.04556350560002,5.3459919804734,6.15143220400465
10,22,1,1,6,1,"rectangular",9.39301423246642,3.1578049713265,3.54870745338281
10,23,1,1,6,1,"rectangular",5.68799104569184,6.09938930244849,7.12773377163222
10,24,1,1,6,1,"rectangular",6.98624091164904,6.73000611564395,7.54525730794075
10,25,1,1,6,1,"rectangular",5.42662992013586,5.8562680991854,6.99336415849231
10,26,1,1,6,1,"rectangular",6.78024851498781,6.41541322486653,7.41037808273394
10,27,1,1,6,1,"rectangular",5.01573750397017,3.62882712679374,3.64265129346856
10,28,1,1,6,1,"rectangular",7.13926586995102,5.82112382256531,6.63060150311076
10,29,1,1,6,1,"rectangular",4.94403892366329,5.14496329790939,6.20860094058676
10,30,1,1,6,1,"rectangular",5.93187081708387,5.45298588738313,6.284573112993
10,31,1,1,6,1,"rectangular",6.48031059258224,6.10163686629047,7.05090489720883
10,32,1,1,6,1,"rectangular",7.51688043808751,7.02001877632626,7.76049997925231
10,33,1,1,6,1,"rectangular",7.51159889417964,6.49722072822956,7.13178269201572
10,34,1,1,6,1,"rectangular",6.47228530387348,6.56633660811548,7.36711879846098
10,35,1,1,6,1,"rectangular",7.41253136726918,5.63944129218472,6.1185200608723
10,36,1,1,6,1,"rectangular",7.38935399054008,5.81980884971079,6.68464985585852
10,37,1,1,6,1,"rectangular",7.61683201268793,6.57666478985761,7.35045522921032
10,38,1,1,6,1,"rectangular",5.9378475095627,5.86501188832864,6.98622310587682
10,39,1,1,6,1,"rectangular",6.96779172312671,6.59427718262799,7.58699854176866
10,40,1,1,6,1,"rectangular",5.75796340858674,5.83357751620144,6.52435696732129
10,41,1,1,6,1,"rectangular",5.96213898377629,4.93546124275786,5.95845012783595
10,42,1,1,6,1,"rectangular",5.51616420033851,5.04386470331559,5.58964720547727
10,43,1,1,6,1,"rectangular",5.23124834460476,5.35494506460799,6.52236475119514
10,44,1,1,6,1,"rectangular",5.60413048370718,4.9534633218049,5.93772417292288
10,45,1,1,6,1,"rectangular",7.46651702331904,6.65296572209777,7.5297386352011
10,46,1,1,6,1,"rectangular",6.48650166306458,5.84012018631977,6.57261272230437
10,47,1,1,6,1,"rectangular",6.05882052544395,6.13020945396122,7.13040503328952
10,48,1,1,6,1,"rectangular",14.877806095068,4.08272652390829,4.56236283290577
10,49,1,1,6,1,"rectangular",7.15173371439306,4.83157392913232,5.43283538490227
10,50,1,1,6,1,"rectangular",5.82003549425922,6.08634325670346,7.12075832177834
10,51,1,1,6,1,"rectangular",7.40120107028077,6.32898746680465,6.86609747675824
10,52,1,1,6,1,"rectangular",7.03705755780127,4.99620391801175,5.69426752974704
10,53,1,1,6,1,"rectangular",6.32899350546123,5.5176004951067,6.27087618462958
10,54,1,1,6,1,"rectangular",6.07867553155027,5.07103245599352,6.04120281914878
10,55,1,1,6,1,"rectangular",6.18500160202094,4.62287732393739,5.55746917699883
10,56,1,1,6,1,"rectangular",7.0690676730587,6.89691733917943,7.64730989499912
10,57,1,1,6,1,"rectangular",9.79064866990596,2.95645406301286,4.15750398902638
10,58,1,1,6,1,"rectangular",5.44862807045415,5.7274797647762,6.76903476946918
10,59,1,1,6,1,"rectangular",6.24554352666711,4.90690756923949,5.39419145258941
10,60,1,1,6,1,"rectangular",6.3829505587921,5.75030798578596,6.76766249385579
10,61,1,1,6,1,"rectangular",7.01067227389084,6.34222529640234,7.37349666712872
10,62,1,1,6,1,"rectangular",7.55953591513382,5.43044750418971,5.96069074844038
10,63,1,1,6,1,"rectangular",6.42386277326688,5.08423346316132,5.6796371174028
10,64,1,1,6,1,"rectangular",4.35601045202419,4.77450148150827,6.22187897123036
10,65,1,1,6,1,"rectangular",6.4002529629923,5.31025102297045,6.30167508222755
