"","GridSize","alpha","lambda","beta","type","c","l","SpectralNorm","SpectralNormTaper","SpectralNormSepTaper"
"1",10,1,2,1,"rectangular",1,1,4.53877968610678,1.40301624457439,1.41744956574519
"2",20,1,2,1,"rectangular",1,1,10.6078488383959,0.94180955975189,1.38363609740604
"3",30,1,2,1,"rectangular",1,1,6.93741929681463,1.16669818778877,1.92718810515435
"4",40,1,2,1,"rectangular",1,1,6.18782394184753,1.42811708780745,2.07118412892688
"5",10,1,2,1,"rectangular",1,3,4.53877968610678,2.20206578711515,1.96828842209012
"6",20,1,2,1,"rectangular",1,3,10.6078488383959,1.55031540892734,1.33745046711533
"7",30,1,2,1,"rectangular",1,3,6.93741929681463,1.05450315443461,1.44704058786723
"8",40,1,2,1,"rectangular",1,3,6.18782394184753,0.676510593919066,1.53504359979005
"9",10,1,2,1,"rectangular",1,5,4.53877968610678,3.68236120493911,2.171104600244
"10",20,1,2,1,"rectangular",1,5,10.6078488383959,3.69130822718096,1.48648747868863
"11",30,1,2,1,"rectangular",1,5,6.93741929681463,1.63537053203168,1.48416697211065
"12",40,1,2,1,"rectangular",1,5,6.18782394184753,1.83445071300089,1.76468580009188
"13",10,1,2,1,"rectangular",1,7,4.53877968610678,4.34541264895099,2.66741262053248
"14",20,1,2,1,"rectangular",1,7,10.6078488383959,5.39664817832498,1.57859343738008
"15",30,1,2,1,"rectangular",1,7,6.93741929681463,3.05002458042572,1.52896720782915
"16",40,1,2,1,"rectangular",1,7,6.18782394184753,2.73984835338161,1.80116406316745
"17",10,1,2,1,"rectangular",1,9,4.53877968610678,4.53877968610678,2.67716411393998
"18",20,1,2,1,"rectangular",1,9,10.6078488383959,7.58398382465315,1.79410565766777
"19",30,1,2,1,"rectangular",1,9,6.93741929681463,4.51098927345897,1.65632009503833
"20",40,1,2,1,"rectangular",1,9,6.18782394184753,3.41784417225013,1.82629332419469
"21",10,1,2,1,"rectangular",1,11,4.53877968610678,4.53877968610678,2.67716411393998
"22",20,1,2,1,"rectangular",1,11,10.6078488383959,8.90859571372129,2.36464583067823
"23",30,1,2,1,"rectangular",1,11,6.93741929681463,5.54505771674807,1.94212108229878
"24",40,1,2,1,"rectangular",1,11,6.18782394184753,3.29368892797306,1.87471708644551
