"","GridSize","alpha","lambda","beta","type","c","l","SpectralNorm","SpectralNormTaper","SpectralNormSepTaper"
"1",10,1,10,1,"rectangular",1,1,5.80710613933907,6.78359001172872,7.01099642281048
"2",20,1,10,1,"rectangular",1,1,11.907042200078,11.7817460361037,11.7977553790096
"3",30,1,10,1,"rectangular",1,1,13.349275994003,13.5688073148955,14.2362274187186
"4",40,1,10,1,"rectangular",1,1,25.7415296891691,14.596263365522,15.7545457490854
"5",10,1,10,1,"rectangular",1,3,5.80710613933907,4.87922098688522,5.22793956446798
"6",20,1,10,1,"rectangular",1,3,11.907042200078,7.37528183564184,12.2374129497158
"7",30,1,10,1,"rectangular",1,3,13.349275994003,8.40339386771149,13.2859252986296
"8",40,1,10,1,"rectangular",1,3,25.7415296891691,8.2206585399522,13.5144254981629
"9",10,1,10,1,"rectangular",1,5,5.80710613933907,5.85605739549279,5.6878612997142
"10",20,1,10,1,"rectangular",1,5,11.907042200078,7.53859679617155,10.9817684172476
"11",30,1,10,1,"rectangular",1,5,13.349275994003,5.2041170852126,13.0142621013639
"12",40,1,10,1,"rectangular",1,5,25.7415296891691,4.87687888564312,13.5333689166795
"13",10,1,10,1,"rectangular",1,7,5.80710613933907,5.87441511203174,5.75104210121652
"14",20,1,10,1,"rectangular",1,7,11.907042200078,8.53125507718605,11.1835200374054
"15",30,1,10,1,"rectangular",1,7,13.349275994003,5.2814135100238,12.8974273447219
"16",40,1,10,1,"rectangular",1,7,25.7415296891691,4.85189926091226,13.4365927433784
"17",10,1,10,1,"rectangular",1,9,5.80710613933907,5.80710613933907,5.73534916814885
"18",20,1,10,1,"rectangular",1,9,11.907042200078,9.81268512125044,11.2626325879793
"19",30,1,10,1,"rectangular",1,9,13.349275994003,6.49998559948488,12.8975776319999
"20",40,1,10,1,"rectangular",1,9,25.7415296891691,5.78725089412316,13.4768710647979
"21",10,1,10,1,"rectangular",1,11,5.80710613933907,5.80710613933907,5.73534916814885
"22",20,1,10,1,"rectangular",1,11,11.907042200078,10.597778347355,11.4896332766663
"23",30,1,10,1,"rectangular",1,11,13.349275994003,7.54787681147633,12.8995901685422
"24",40,1,10,1,"rectangular",1,11,25.7415296891691,7.5108626249584,13.8593343205097
"25",10,1,12,1,"rectangular",1,1,6.65975587718748,7.91879964189397,8.02959843251752
"26",20,1,12,1,"rectangular",1,1,11.2862524803402,13.0845991967374,12.7655911427479
"27",30,1,12,1,"rectangular",1,1,26.312754557046,16.0743570534591,16.4600636086621
"28",40,1,12,1,"rectangular",1,1,23.6021003132815,17.5440495277385,18.5880215283685
"29",10,1,12,1,"rectangular",1,3,6.65975587718748,5.5171267486658,6.33020511532958
"30",20,1,12,1,"rectangular",1,3,11.2862524803402,8.86489625227003,12.4647718424014
"31",30,1,12,1,"rectangular",1,3,26.312754557046,12.2821730160319,16.6626965574284
"32",40,1,12,1,"rectangular",1,3,23.6021003132815,10.8296941438168,16.0191420181018
"33",10,1,12,1,"rectangular",1,5,6.65975587718748,6.33659319796983,6.65012128226527
"34",20,1,12,1,"rectangular",1,5,11.2862524803402,7.61170147541196,11.9759554723351
"35",30,1,12,1,"rectangular",1,5,26.312754557046,9.71064152331257,18.0877115170926
"36",40,1,12,1,"rectangular",1,5,23.6021003132815,6.39499651655595,16.5508023784488
"37",10,1,12,1,"rectangular",1,7,6.65975587718748,6.64837958471985,6.84147922655228
"38",20,1,12,1,"rectangular",1,7,11.2862524803402,8.74742152425494,11.8932201525533
"39",30,1,12,1,"rectangular",1,7,26.312754557046,10.864905910978,17.0758731167173
"40",40,1,12,1,"rectangular",1,7,23.6021003132815,7.5216506183038,16.1880768063733
"41",10,1,12,1,"rectangular",1,9,6.65975587718748,6.65975587718748,6.85282907888295
"42",20,1,12,1,"rectangular",1,9,11.2862524803402,9.84395453351528,12.2392293333322
"43",30,1,12,1,"rectangular",1,9,26.312754557046,13.6934614350379,16.8712572088638
"44",40,1,12,1,"rectangular",1,9,23.6021003132815,9.91919979100601,16.0796423075826
"45",10,1,12,1,"rectangular",1,11,6.65975587718748,6.65975587718748,6.85282907888295
"46",20,1,12,1,"rectangular",1,11,11.2862524803402,10.7026311745608,12.5601555145374
"47",30,1,12,1,"rectangular",1,11,26.312754557046,16.6320375646879,16.8357785648388
"48",40,1,12,1,"rectangular",1,11,23.6021003132815,12.578189876107,16.1281364475027
"49",10,1,14,1,"rectangular",1,1,6.54188550701504,7.92231560381258,7.46762542306986
"50",20,1,14,1,"rectangular",1,1,12.3547291671412,15.1618904911474,15.8078342568957
"51",30,1,14,1,"rectangular",1,1,21.1814322826304,17.9577602996784,18.228117178792
"52",40,1,14,1,"rectangular",1,1,21.5696467399054,20.2441712089933,20.8825491302513
"53",10,1,14,1,"rectangular",1,3,6.54188550701504,5.1713705868449,5.77704432357923
"54",20,1,14,1,"rectangular",1,3,12.3547291671412,10.6590492084867,14.7366954335529
"55",30,1,14,1,"rectangular",1,3,21.1814322826304,11.4912312974147,16.0374540606776
"56",40,1,14,1,"rectangular",1,3,21.5696467399054,13.8861536422805,19.7393738852394
"57",10,1,14,1,"rectangular",1,5,6.54188550701504,6.26888493969428,6.38592874049289
"58",20,1,14,1,"rectangular",1,5,12.3547291671412,8.17949604025792,14.4374247269427
"59",30,1,14,1,"rectangular",1,5,21.1814322826304,8.60308655112976,16.1431461994168
"60",40,1,14,1,"rectangular",1,5,21.5696467399054,9.32283071189825,19.4441480323935
"61",10,1,14,1,"rectangular",1,7,6.54188550701504,6.57412046960742,6.48040562780858
"62",20,1,14,1,"rectangular",1,7,12.3547291671412,8.62495860759643,14.2907042800589
"63",30,1,14,1,"rectangular",1,7,21.1814322826304,8.25097217047735,16.5387395368098
"64",40,1,14,1,"rectangular",1,7,21.5696467399054,8.37185317809368,18.7693862158016
"65",10,1,14,1,"rectangular",1,9,6.54188550701504,6.54188550701504,6.47983217159405
"66",20,1,14,1,"rectangular",1,9,12.3547291671412,10.130221129526,14.2972458738841
"67",30,1,14,1,"rectangular",1,9,21.1814322826304,9.16914505358228,17.2737793644368
"68",40,1,14,1,"rectangular",1,9,21.5696467399054,9.37690205309664,18.927003082177
"69",10,1,14,1,"rectangular",1,11,6.54188550701504,6.54188550701504,6.47983217159405
"70",20,1,14,1,"rectangular",1,11,12.3547291671412,11.4641325546922,14.4696251364095
"71",30,1,14,1,"rectangular",1,11,21.1814322826304,10.3543663570408,17.1752856881829
"72",40,1,14,1,"rectangular",1,11,21.5696467399054,10.4693759108874,19.2359472563808
"73",10,1,16,1,"rectangular",1,1,7.3831148017112,8.90402703442571,9.66935781811996
"74",20,1,16,1,"rectangular",1,1,13.6291543878936,16.2702075261522,16.7679726935852
"75",30,1,16,1,"rectangular",1,1,20.677564971159,20.7180471346633,21.3789672807155
"76",40,1,16,1,"rectangular",1,1,36.7637490951033,22.8374320312922,23.5361708583985
"77",10,1,16,1,"rectangular",1,3,7.3831148017112,6.47023465833078,7.14292732659696
"78",20,1,16,1,"rectangular",1,3,13.6291543878936,10.640913911707,14.6467758865657
"79",30,1,16,1,"rectangular",1,3,20.677564971159,14.596855589838,20.3860705829672
"80",40,1,16,1,"rectangular",1,3,36.7637490951033,14.8309974002366,20.8692737271949
"81",10,1,16,1,"rectangular",1,5,7.3831148017112,7.3024492312256,7.82937571527098
"82",20,1,16,1,"rectangular",1,5,13.6291543878936,9.16735107051767,14.1883037075082
"83",30,1,16,1,"rectangular",1,5,20.677564971159,12.3291890547171,18.8091219105716
"84",40,1,16,1,"rectangular",1,5,36.7637490951033,11.0506185449674,19.6323395392885
"85",10,1,16,1,"rectangular",1,7,7.3831148017112,7.41439473643502,7.87386271149042
"86",20,1,16,1,"rectangular",1,7,13.6291543878936,9.95130064659579,14.4064497027132
