"","GridSize","alpha","lambda","beta","type","c","l","SpectralNorm","SpectralNormTaper","FrobNorm","FrobNormTaper"
"1",10,0.5,2,1,"rectangular",1,1,3.03594464773866,1.78934790181422,7.98866998568926,5.30101064124641
"2",20,0.5,2,1,"rectangular",1,1,7.57689717295976,3.67947417512269,21.0195595895647,11.431238251885
"3",30,0.5,2,1,"rectangular",1,1,9.03328950350415,4.35700505378086,28.6339759371353,17.9801612760001
"4",40,0.5,2,1,"rectangular",1,1,10.9443665685233,5.00117968969425,34.3980217179635,24.2239384863909
"5",10,0.75,2,1,"rectangular",1,1,2.08412315178014,1.69497436984568,6.69263458137051,3.54772150981321
"6",20,0.75,2,1,"rectangular",1,1,5.98020863017475,1.9402394241268,19.4771691375727,8.04454800175666
"7",30,0.75,2,1,"rectangular",1,1,12.5717251529772,2.06270269323022,29.8526223018551,12.0551095622902
"8",40,0.75,2,1,"rectangular",1,1,11.9457132180082,2.3079493172509,35.3363796163524,16.1294469987166
"9",10,1,2,1,"rectangular",1,1,4.53877968610678,1.40301624457439,8.63989758154215,3.59801097661089
"10",20,1,2,1,"rectangular",1,1,10.6078488383959,0.94180955975189,19.1267507010256,6.53169185150523
"11",30,1,2,1,"rectangular",1,1,6.93741929681463,1.16669818778877,25.3531250432295,8.69187531165963
"12",40,1,2,1,"rectangular",1,1,6.18782394184753,1.42811708780745,32.3631244350342,11.2652114669283
"13",10,1.25,2,1,"rectangular",1,1,4.06198714147567,1.01110458021162,9.12802399630577,2.94635257122204
"14",20,1.25,2,1,"rectangular",1,1,7.71588655135037,0.769714941661693,19.0405539100765,5.32879092669946
"15",30,1.25,2,1,"rectangular",1,1,11.115079331201,0.706461360454338,28.5409692372901,6.53984132343399
"16",40,1.25,2,1,"rectangular",1,1,12.2109491509306,0.931881623523274,35.8394597465576,8.23800016776293
"17",10,1.5,2,1,"rectangular",1,1,3.96484903655073,0.747258664131726,7.78284852286831,2.52232639014612
"18",20,1.5,2,1,"rectangular",1,1,4.80247318389622,0.571576071207489,15.8738313714496,4.34987031324102
"19",30,1.5,2,1,"rectangular",1,1,9.09389707065521,0.623188162101066,25.408977151929,6.37112964293997
"20",40,1.5,2,1,"rectangular",1,1,9.01510041337595,0.55130796583428,32.7805264119336,6.66651497342611
"21",10,0.5,2,1,"rectangular",1,2,3.03594464773866,1.44495769229446,7.98866998568926,4.77233787554524
